timestamp,ID,Modelo,Area,CPU,RAM,Disco,Processos,Bateria
2025-10-06T21:15:13,4,Dx3010,Cirurgia,9.6,40.1,98.0,357.0,22.9
2025-10-06T21:15:19,4,Dx3010,Cirurgia,0.8,40.1,98.0,354.0,22.9
2025-10-06T21:15:25,4,Dx3010,Cirurgia,7.5,40.2,98.0,354.0,22.9
2025-10-06T21:15:31,4,Dx3010,Cirurgia,6.1,39.9,98.0,354.0,22.8
2025-10-06T21:15:37,4,Dx3010,Cirurgia,1.7,39.8,98.0,354.0,22.8
2025-10-06T21:15:43,4,Dx3010,Cirurgia,2.4,39.7,98.0,355.0,22.7
2025-10-06T21:15:49,4,Dx3010,Cirurgia,0.5,39.8,98.0,355.0,22.7
2025-10-06T21:15:55,4,Dx3010,Cirurgia,0.3,39.7,98.0,355.0,22.7
2025-10-06T21:16:01,4,Dx3010,Cirurgia,8.9,40.7,99.0,385.0,22.7
2025-10-06T21:16:07,4,Dx3010,Cirurgia,15.6,42.3,99.0,365.0,22.6
2025-10-06T21:16:13,4,Dx3010,Cirurgia,8.4,41.8,99.0,362.0,22.5
2025-10-06T21:16:19,4,Dx3010,Cirurgia,15.8,42.0,99.0,362.0,22.5
2025-10-06T21:16:25,4,Dx3010,Cirurgia,7.1,42.1,99.0,362.0,22.4
2025-10-06T21:16:31,4,Dx3010,Cirurgia,10.4,42.1,99.0,362.0,22.4
2025-10-06T21:16:38,4,Dx3010,Cirurgia,4.2,42.4,99.0,362.0,22.3
2025-10-06T21:16:44,4,Dx3010,Cirurgia,1.5,42.1,99.0,362.0,22.3
2025-10-06T21:16:50,4,Dx3010,Cirurgia,1.8,41.5,99.0,360.0,22.3
2025-10-06T21:16:56,4,Dx3010,Cirurgia,2.8,41.4,99.0,358.0,22.2
2025-10-06T21:17:02,4,Dx3010,Cirurgia,0.6,41.2,99.0,357.0,22.2
2025-10-06T21:17:08,4,Dx3010,Cirurgia,0.7,41.2,99.0,357.0,22.2
2025-10-06T21:17:14,4,Dx3010,Cirurgia,6.8,41.5,99.0,357.0,22.1
2025-10-06T21:17:20,4,Dx3010,Cirurgia,0.8,41.4,99.0,357.0,22.1
2025-10-06T21:17:26,4,Dx3010,Cirurgia,0.5,41.4,99.0,356.0,22.0
2025-10-06T21:17:32,4,Dx3010,Cirurgia,0.5,41.4,99.0,356.0,22.0
2025-10-06T21:17:38,4,Dx3010,Cirurgia,0.3,41.3,99.0,356.0,22.0
2025-10-06T21:17:44,4,Dx3010,Cirurgia,1.3,40.7,99.0,355.0,22.0
2025-10-06T21:17:50,4,Dx3010,Cirurgia,9.4,42.0,99.0,356.0,21.9
2025-10-06T21:17:56,4,Dx3010,Cirurgia,3.6,42.5,99.0,356.0,21.9
2025-10-06T21:18:02,4,Dx3010,Cirurgia,0.8,41.9,99.0,356.0,21.8
2025-10-06T21:18:08,4,Dx3010,Cirurgia,2.7,41.6,99.0,356.0,21.8
