timestamp,hospital,numero_serie,area,componente,valor_lido,min_permitido,max_permitido,tipo_alerta
2025-10-06T21:15:13,Hospital de Câncer,4,Observação,RAM,40.1,50.0,70.0,Abaixo
2025-10-06T21:15:13,Hospital de Câncer,4,Observação,CPU,9.6,20.0,90.0,Abaixo
2025-10-06T21:15:13,Hospital de Câncer,4,Observação,Bateria,22.9,25.0,0.0,Abaixo
2025-10-06T21:15:19,Hospital de Câncer,4,Observação,RAM,40.1,50.0,70.0,Abaixo
2025-10-06T21:15:19,Hospital de Câncer,4,Observação,CPU,0.8,20.0,90.0,Abaixo
2025-10-06T21:15:19,Hospital de Câncer,4,Observação,Bateria,22.9,25.0,0.0,Abaixo
2025-10-06T21:15:25,Hospital de Câncer,4,Observação,RAM,40.2,50.0,70.0,Abaixo
2025-10-06T21:15:25,Hospital de Câncer,4,Observação,CPU,7.5,20.0,90.0,Abaixo
2025-10-06T21:15:25,Hospital de Câncer,4,Observação,Bateria,22.9,25.0,0.0,Abaixo
2025-10-06T21:15:31,Hospital de Câncer,4,Observação,RAM,39.9,50.0,70.0,Abaixo
2025-10-06T21:15:31,Hospital de Câncer,4,Observação,CPU,6.1,20.0,90.0,Abaixo
2025-10-06T21:15:31,Hospital de Câncer,4,Observação,Bateria,22.8,25.0,0.0,Abaixo
2025-10-06T21:15:37,Hospital de Câncer,4,Observação,RAM,39.8,50.0,70.0,Abaixo
2025-10-06T21:15:37,Hospital de Câncer,4,Observação,CPU,1.7,20.0,90.0,Abaixo
2025-10-06T21:15:37,Hospital de Câncer,4,Observação,Bateria,22.8,25.0,0.0,Abaixo
2025-10-06T21:15:43,Hospital de Câncer,4,Observação,RAM,39.7,50.0,70.0,Abaixo
2025-10-06T21:15:43,Hospital de Câncer,4,Observação,CPU,2.4,20.0,90.0,Abaixo
2025-10-06T21:15:43,Hospital de Câncer,4,Observação,Bateria,22.7,25.0,0.0,Abaixo
2025-10-06T21:15:49,Hospital de Câncer,4,Observação,RAM,39.8,50.0,70.0,Abaixo
2025-10-06T21:15:49,Hospital de Câncer,4,Observação,CPU,0.5,20.0,90.0,Abaixo
2025-10-06T21:15:49,Hospital de Câncer,4,Observação,Bateria,22.7,25.0,0.0,Abaixo
2025-10-06T21:15:55,Hospital de Câncer,4,Observação,RAM,39.7,50.0,70.0,Abaixo
2025-10-06T21:15:55,Hospital de Câncer,4,Observação,CPU,0.3,20.0,90.0,Abaixo
2025-10-06T21:15:55,Hospital de Câncer,4,Observação,Bateria,22.7,25.0,0.0,Abaixo
2025-10-06T21:16:01,Hospital de Câncer,4,Observação,RAM,40.7,50.0,70.0,Abaixo
2025-10-06T21:16:01,Hospital de Câncer,4,Observação,CPU,8.9,20.0,90.0,Abaixo
2025-10-06T21:16:01,Hospital de Câncer,4,Observação,Bateria,22.7,25.0,0.0,Abaixo
2025-10-06T21:16:07,Hospital de Câncer,4,Observação,RAM,42.3,50.0,70.0,Abaixo
2025-10-06T21:16:07,Hospital de Câncer,4,Observação,CPU,15.6,20.0,90.0,Abaixo
